InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV10629,P5569,It Of,45,2025-06-30 03:26:14,5.41,10089.0,United Kingdom
INV10788,P1423,Live Eight,35,2024-08-05 19:57:11,74.23,10062.0,Canada
INV10684,P8933,Unit Example,45,2023-12-01 22:12:30,66.75,10063.0,Australia
INV10516,P2020,Fill Relationship,1,2024-12-12 00:34:30,56.25,10034.0,Netherlands
INV10529,P9947,Though Could,24,2024-03-12 10:59:29,38.15,10023.0,Australia
INV10657,P1282,Occur Evidence,5,2025-01-19 03:15:43,49.95,10006.0,France
INV10552,P1823,What Follow,35,2025-02-14 15:01:34,3.88,10060.0,France
INV10531,P8999,Beyond Next,50,2023-09-22 01:26:54,52.89,10095.0,United Kingdom
INV10321,P5533,Push Start,14,2024-10-21 19:53:14,32.44,10065.0,France
INV10070,P5422,Risk Officer,18,2025-04-06 08:08:33,17.08,10033.0,Canada
INV10837,P9998,Study Attention,23,2023-08-20 09:55:29,13.62,10071.0,Netherlands
INV10453,P5011,Place Provide,50,2025-01-16 16:06:20,26.81,,Germany
INV10996,P5106,Per Much,34,2023-12-25 09:33:48,91.1,10059.0,United Kingdom
INV10668,P7971,Executive Power,7,2024-08-25 00:55:00,72.28,10034.0,Netherlands
INV10247,P9883,Magazine Part,29,2025-07-16 04:39:19,38.47,10018.0,USA
INV10613,P8102,Professor Forget,7,2025-02-06 04:05:45,93.8,10013.0,Germany
INV10844,P4920,Peace Total,39,2024-05-19 08:49:50,62.51,10009.0,Netherlands
INV10704,P2680,Short Present,32,2023-09-16 02:44:13,66.3,10036.0,Netherlands
INV10298,P9900,Believe Rather,-3,2024-10-02 08:54:39,40.32,10092.0,USA
INV10101,P2796,Their Cause,24,2023-10-07 06:21:58,29.58,10005.0,Germany
INV10902,P3068,Mouth Receive,28,2024-06-30 16:59:56,78.89,10012.0,United Kingdom
INV10919,P2315,Physical Against,9,2025-02-15 13:44:56,62.63,10029.0,Canada
INV10213,P7912,Build Into,-12,2024-09-30 22:03:04,6.79,10022.0,France
INV10237,P5345,Stuff End,34,2024-04-02 01:44:39,67.29,10018.0,Netherlands
INV10595,P4249,Identify Member,35,2025-03-09 09:43:30,95.08,10088.0,Netherlands
INV10281,P2188,Adult Less,48,2024-10-09 11:34:56,12.65,10064.0,Australia
INV10870,P5526,Pressure Least,24,2024-10-31 23:16:38,83.98,10035.0,Germany
INV10286,P9808,Program Force,9,2025-04-27 16:39:44,24.67,10002.0,Germany
INV10922,P7226,Region Perform,22,2025-01-03 21:39:38,47.95,10051.0,USA
INV10887,P8460,,4,2024-03-03 14:09:59,69.75,10012.0,Australia
INV10464,P1090,Debate Political,9,2024-01-30 00:41:57,52.56,10083.0,Canada
INV10796,P9502,Sure None,31,2024-06-02 20:08:08,26.14,10047.0,Germany
INV10096,P3266,Candidate General,45,2025-04-20 10:58:51,32.49,10090.0,Netherlands
INV10244,P5861,Store Anything,9,2025-03-16 05:21:36,46.23,10032.0,Germany
INV10889,P4090,Hard Development,4,2025-03-29 17:48:27,91.16,10027.0,Netherlands
INV10076,P6168,They Least,14,2024-01-18 05:30:17,26.28,10061.0,Canada
INV10901,P1606,Dream Able,18,2024-01-22 22:17:28,24.18,10081.0,USA
INV10209,P4116,Challenge All,2,2023-09-05 16:40:08,21.41,10086.0,United Kingdom
INV10259,P4044,Memory Win,33,2025-02-08 18:58:24,42.85,10092.0,Canada
INV10158,P9835,Box Her,23,2025-05-18 00:55:22,93.03,,United Kingdom
INV10739,P4457,Recently Area,36,2024-04-20 08:15:08,17.72,10045.0,Australia
INV10432,P8043,I Deep,42,2023-11-10 22:42:09,39.37,10089.0,USA
INV10331,P2832,Traditional Buy,12,2023-12-31 03:16:30,13.08,10056.0,Germany
INV10956,P9153,Response Current,38,2024-09-11 09:05:15,95.45,10022.0,USA
INV10314,P5325,Teach Either,35,2023-12-22 14:44:51,57.94,10052.0,Netherlands
INV10294,P7054,But Skill,24,2024-11-09 10:05:20,57.88,10027.0,Canada
INV10382,P7548,Region Throughout,40,2025-06-22 19:02:03,33.03,10082.0,Canada
INV10388,P3925,Gun Level,22,2024-02-19 01:48:20,37.77,10091.0,Australia
INV10575,P4266,Color Congress,9,2025-07-06 18:27:25,82.69,10037.0,United Kingdom
INV10879,P3434,,11,2024-11-08 05:01:57,49.35,10090.0,United Kingdom
INV10442,P5649,Top Age,39,2024-02-09 13:37:19,7.8,10093.0,Australia
INV10721,P3485,Identify Possible,15,2025-07-12 17:04:54,44.67,10035.0,Canada
INV10059,P7065,Realize Professor,14,2024-12-20 02:07:28,-2.678087327766171,10039.0,Canada
INV10678,P6169,Should Machine,27,2025-07-21 02:42:16,55.34,10093.0,Australia
INV10370,P6000,Task Chance,35,2023-10-07 14:20:20,48.68,10024.0,USA
INV10482,P9976,Per Glass,12,2024-08-21 02:59:43,32.38,10049.0,Netherlands
INV10381,P9346,Public Behavior,3,2024-06-08 10:17:50,62.28,10098.0,France
INV10054,P7227,Deep Onto,7,2024-11-12 13:29:02,40.34,10042.0,Australia
INV10023,P1106,Sense Exactly,21,2025-05-24 07:56:07,33.76,10008.0,France
INV10030,P6514,Artist Yeah,27,2024-04-12 19:49:32,26.0,10045.0,France
INV10880,P8316,Environmental Foot,47,2024-08-04 12:46:21,74.02,10022.0,Germany
INV10430,P5700,Company Test,22,2025-06-27 00:43:12,4.52,10049.0,Netherlands
INV10010,P1520,Pressure Television,11,2024-12-29 15:10:29,10.43,10047.0,Netherlands
INV10656,P8342,May Each,2,2024-03-25 06:21:12,62.82,10061.0,Netherlands
INV10813,P5722,Party Main,13,2024-12-19 13:56:22,76.55,10013.0,Germany
INV10483,P8305,Man Area,26,2023-09-20 19:09:30,88.05,10047.0,Australia
INV10543,P9751,Far International,43,2025-04-11 23:19:20,13.35,10082.0,Canada
INV10199,P7735,Medical Perform,24,2024-05-13 06:46:17,15.82,10075.0,USA
INV10501,P9849,Whether General,21,2024-12-01 12:43:12,96.55,10011.0,Canada
INV10940,P6314,Degree Hospital,23,2023-12-27 14:39:16,88.11,10026.0,Netherlands
INV10107,P7252,Choice Half,17,2025-02-04 19:40:07,90.24,10053.0,United Kingdom
INV10218,P2235,He Hotel,28,2025-07-20 15:29:43,44.83,10005.0,Canada
INV10925,P9864,Million Very,43,2024-06-14 23:25:59,85.56,10000.0,Netherlands
INV10174,P1117,Technology Attack,28,2025-02-04 17:10:59,91.86,10024.0,Canada
INV10723,P5978,Treat Job,1,2025-06-18 23:52:57,19.49,10095.0,Australia
INV10881,P9824,Quickly She,23,2025-05-26 11:38:30,53.0,10045.0,Germany
INV10933,P2612,Or Board,35,2025-03-14 16:49:45,40.28,10014.0,Germany
INV10394,P6139,Almost Nation,-4,2025-07-20 00:21:03,13.59,10016.0,Netherlands
INV10039,P8527,Building Foot,7,2024-01-31 22:07:43,86.56,10053.0,United Kingdom
INV10833,P8242,Edge Fine,30,2024-05-13 10:56:04,2.78,10021.0,Netherlands
