InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSales
INV10629,P5569,It Of,45,2025-06-30 03:26:14,5.41,10089,United Kingdom,243.45000000000002
INV10516,P2020,Fill Relationship,1,2024-12-12 00:34:30,56.25,10034,Netherlands,56.25
INV10657,P1282,Occur Evidence,5,2025-01-19 03:15:43,49.95,10006,France,249.75
INV10552,P1823,What Follow,35,2025-02-14 15:01:34,3.88,10060,France,135.79999999999998
INV10321,P5533,Push Start,14,2024-10-21 19:53:14,32.44,10065,France,454.15999999999997
INV10070,P5422,Risk Officer,18,2025-04-06 08:08:33,17.08,10033,Canada,307.43999999999994
INV10668,P7971,Executive Power,7,2024-08-25 00:55:00,72.28,10034,Netherlands,505.96000000000004
INV10247,P9883,Magazine Part,29,2025-07-16 04:39:19,38.47,10018,USA,1115.6299999999999
INV10613,P8102,Professor Forget,7,2025-02-06 04:05:45,93.8,10013,Germany,656.6
INV10919,P2315,Physical Against,9,2025-02-15 13:44:56,62.63,10029,Canada,563.6700000000001
INV10595,P4249,Identify Member,35,2025-03-09 09:43:30,95.08,10088,Netherlands,3327.7999999999997
INV10281,P2188,Adult Less,48,2024-10-09 11:34:56,12.65,10064,Australia,607.2
INV10870,P5526,Pressure Least,24,2024-10-31 23:16:38,83.98,10035,Germany,2015.52
INV10286,P9808,Program Force,9,2025-04-27 16:39:44,24.67,10002,Germany,222.03000000000003
INV10922,P7226,Region Perform,22,2025-01-03 21:39:38,47.95,10051,USA,1054.9
INV10096,P3266,Candidate General,45,2025-04-20 10:58:51,32.49,10090,Netherlands,1462.0500000000002
INV10244,P5861,Store Anything,9,2025-03-16 05:21:36,46.23,10032,Germany,416.07
INV10889,P4090,Hard Development,4,2025-03-29 17:48:27,91.16,10027,Netherlands,364.64
INV10259,P4044,Memory Win,33,2025-02-08 18:58:24,42.85,10092,Canada,1414.05
INV10956,P9153,Response Current,38,2024-09-11 09:05:15,95.45,10022,USA,3627.1
INV10294,P7054,But Skill,24,2024-11-09 10:05:20,57.88,10027,Canada,1389.1200000000001
INV10382,P7548,Region Throughout,40,2025-06-22 19:02:03,33.03,10082,Canada,1321.2
INV10575,P4266,Color Congress,9,2025-07-06 18:27:25,82.69,10037,United Kingdom,744.21
INV10721,P3485,Identify Possible,15,2025-07-12 17:04:54,44.67,10035,Canada,670.0500000000001
INV10678,P6169,Should Machine,27,2025-07-21 02:42:16,55.34,10093,Australia,1494.18
INV10482,P9976,Per Glass,12,2024-08-21 02:59:43,32.38,10049,Netherlands,388.56000000000006
INV10054,P7227,Deep Onto,7,2024-11-12 13:29:02,40.34,10042,Australia,282.38
INV10023,P1106,Sense Exactly,21,2025-05-24 07:56:07,33.76,10008,France,708.9599999999999
INV10430,P5700,Company Test,22,2025-06-27 00:43:12,4.52,10049,Netherlands,99.44
INV10010,P1520,Pressure Television,11,2024-12-29 15:10:29,10.43,10047,Netherlands,114.72999999999999
INV10813,P5722,Party Main,13,2024-12-19 13:56:22,76.55,10013,Germany,995.15
INV10543,P9751,Far International,43,2025-04-11 23:19:20,13.35,10082,Canada,574.05
INV10501,P9849,Whether General,21,2024-12-01 12:43:12,96.55,10011,Canada,2027.55
INV10107,P7252,Choice Half,17,2025-02-04 19:40:07,90.24,10053,United Kingdom,1534.08
INV10218,P2235,He Hotel,28,2025-07-20 15:29:43,44.83,10005,Canada,1255.24
INV10174,P1117,Technology Attack,28,2025-02-04 17:10:59,91.86,10024,Canada,2572.08
INV10723,P5978,Treat Job,1,2025-06-18 23:52:57,19.49,10095,Australia,19.49
INV10881,P9824,Quickly She,23,2025-05-26 11:38:30,53.0,10045,Germany,1219.0
INV10933,P2612,Or Board,35,2025-03-14 16:49:45,40.28,10014,Germany,1409.8
INV10773,P8195,Reality Young,18,2025-07-14 16:21:36,76.2,10062,Canada,1371.6000000000001
INV10351,P4878,Look Half,19,2024-08-24 13:25:39,8.39,10054,Germany,159.41000000000003
INV10066,P5010,Hard What,6,2024-10-19 00:57:02,14.14,10096,United Kingdom,84.84
INV10277,P3144,Old Whether,48,2024-09-21 01:48:21,61.24,10006,Australia,2939.52
INV10067,P3677,Talk Option,42,2024-12-01 23:42:34,15.21,10068,Netherlands,638.82
INV10439,P8752,Share Care,44,2024-10-15 10:56:35,41.8,10066,Germany,1839.1999999999998
INV10736,P1986,Future Cultural,28,2025-07-01 17:56:46,61.73,10030,United Kingdom,1728.4399999999998
INV10296,P3584,To Want,24,2025-02-13 12:47:24,39.71,10055,France,953.04
INV10490,P9540,Girl Learn,5,2024-12-04 22:44:33,56.22,10076,USA,281.1
INV10558,P6355,Stay Treat,26,2025-04-08 00:18:58,51.5,10086,Canada,1339.0
INV10424,P3851,Glass Cover,2,2025-01-26 06:57:04,5.74,10010,United Kingdom,11.48
INV10332,P2232,Trial Maintain,22,2025-05-05 16:48:42,59.83,10048,Germany,1316.26
INV10088,P3287,Out Senior,47,2024-11-22 21:44:19,60.46,10035,France,2841.62
INV10576,P1333,Although Something,24,2025-06-11 01:25:03,52.51,10024,Canada,1260.24
INV10615,P8532,Mind Form,14,2024-12-22 11:04:36,63.49,10019,Germany,888.86
INV10377,P5564,Time Team,18,2024-09-02 17:10:43,79.24,10038,France,1426.32
INV10891,P7274,Cost From,3,2025-05-29 19:53:30,14.61,10060,Netherlands,43.83
INV10696,P9751,Now Upon,28,2024-09-03 04:01:27,50.23,10049,Canada,1406.4399999999998
INV10995,P4115,Officer Phone,26,2025-04-27 05:47:00,40.54,10099,France,1054.04
INV10136,P6310,Lose Under,47,2025-02-18 09:12:05,53.14,10087,France,2497.58
INV10261,P2113,Range Bit,39,2025-03-30 18:24:28,1.12,10076,Australia,43.68000000000001
