month,invoice_no,stock_code,description,quantity,total_sales
2024-08,INV10834,P1845,Pattern Cultural,17,726.24
2024-08,INV10073,P1916,With Conference,34,559.64
2024-08,INV10667,P6632,Friend Will,17,54.06
2024-08,INV10898,P7325,Set Process,19,1222.08
2024-08,INV10206,P2790,Future Big,49,914.83
2024-08,INV10546,P1444,Notice His,13,1017.3800000000001
2024-08,INV10834,P1845,Pattern Cultural,17,726.24
2024-08,INV10073,P1916,With Conference,34,559.64
2024-08,INV10667,P6632,Friend Will,17,54.06
2024-08,INV10898,P7325,Set Process,19,1222.08
2024-08,INV10206,P2790,Future Big,49,914.83
2024-08,INV10546,P1444,Notice His,13,1017.3800000000001
2024-08,INV10834,P1845,Pattern Cultural,17,726.24
2024-08,INV10073,P1916,With Conference,34,559.64
2024-08,INV10667,P6632,Friend Will,17,54.06
2024-08,INV10898,P7325,Set Process,19,1222.08
2024-08,INV10206,P2790,Future Big,49,914.83
2024-08,INV10546,P1444,Notice His,13,1017.3800000000001
2024-08,INV10834,P1845,Pattern Cultural,17,726.24
2024-08,INV10073,P1916,With Conference,34,559.64
2024-08,INV10667,P6632,Friend Will,17,54.06
2024-08,INV10898,P7325,Set Process,19,1222.08
2024-08,INV10206,P2790,Future Big,49,914.83
2024-08,INV10546,P1444,Notice His,13,1017.3800000000001
2024-08,INV10834,P1845,Pattern Cultural,17,726.24
2024-08,INV10073,P1916,With Conference,34,559.64
2024-08,INV10667,P6632,Friend Will,17,54.06
2024-08,INV10898,P7325,Set Process,19,1222.08
2024-08,INV10206,P2790,Future Big,49,914.83
2024-08,INV10546,P1444,Notice His,13,1017.3800000000001
2024-08,INV10476,P8612,Entire Specific,16,1486.4
2024-08,INV10476,P8612,Entire Specific,16,1486.4
2024-08,INV10476,P8612,Entire Specific,16,1486.4
2024-09,INV10587,P2876,Sort Require,23,417.91
2024-09,INV10272,P4346,Major Group,42,2834.1600000000003
2024-09,INV10740,P5335,Company Which,26,1331.2
2024-09,INV10375,P7528,Contain Social,33,470.25
2024-09,INV10356,P3938,Tend Focus,44,2736.3599999999997
2024-09,INV10888,P6272,Others Herself,40,365.6
2024-09,INV10587,P2876,Sort Require,23,417.91
2024-09,INV10272,P4346,Major Group,42,2834.1600000000003
2024-09,INV10740,P5335,Company Which,26,1331.2
2024-09,INV10375,P7528,Contain Social,33,470.25
2024-09,INV10356,P3938,Tend Focus,44,2736.3599999999997
2024-09,INV10888,P6272,Others Herself,40,365.6
2024-09,INV10587,P2876,Sort Require,23,417.91
2024-09,INV10272,P4346,Major Group,42,2834.1600000000003
2024-09,INV10740,P5335,Company Which,26,1331.2
2024-09,INV10375,P7528,Contain Social,33,470.25
2024-09,INV10356,P3938,Tend Focus,44,2736.3599999999997
2024-09,INV10888,P6272,Others Herself,40,365.6
2024-09,INV10587,P2876,Sort Require,23,417.91
2024-09,INV10272,P4346,Major Group,42,2834.1600000000003
2024-09,INV10740,P5335,Company Which,26,1331.2
2024-09,INV10375,P7528,Contain Social,33,470.25
2024-09,INV10356,P3938,Tend Focus,44,2736.3599999999997
2024-09,INV10888,P6272,Others Herself,40,365.6
2024-09,INV10587,P2876,Sort Require,23,417.91
2024-09,INV10272,P4346,Major Group,42,2834.1600000000003
2024-09,INV10740,P5335,Company Which,26,1331.2
2024-09,INV10375,P7528,Contain Social,33,470.25
2024-09,INV10356,P3938,Tend Focus,44,2736.3599999999997
2024-09,INV10888,P6272,Others Herself,40,365.6
2024-09,INV10377,P5564,Time Team,18,1426.32
2024-09,INV10570,P4673,Amount Morning,25,393.75
2024-09,INV10050,P5741,Ago Dream,2,19.54
2024-09,INV10800,P8141,Fire Coach,23,740.14
2024-09,INV10035,P6881,Whom Know,47,2529.54
2024-09,INV10377,P5564,Time Team,18,1426.32
2024-09,INV10570,P4673,Amount Morning,25,393.75
2024-09,INV10050,P5741,Ago Dream,2,19.54
2024-09,INV10800,P8141,Fire Coach,23,740.14
2024-09,INV10035,P6881,Whom Know,47,2529.54
2024-09,INV10377,P5564,Time Team,18,1426.32
2024-09,INV10570,P4673,Amount Morning,25,393.75
2024-09,INV10050,P5741,Ago Dream,2,19.54
2024-09,INV10800,P8141,Fire Coach,23,740.14
2024-09,INV10035,P6881,Whom Know,47,2529.54
2024-10,INV10764,P4683,I Beautiful,25,97.75
2024-10,INV10440,P3780,Sister Charge,44,2438.04
2024-10,INV10659,P5820,Effect Whether,37,567.9499999999999
2024-10,INV10197,P6804,Save Choice,42,3407.88
2024-10,INV10764,P4683,I Beautiful,25,97.75
2024-10,INV10440,P3780,Sister Charge,44,2438.04
2024-10,INV10659,P5820,Effect Whether,37,567.9499999999999
2024-10,INV10197,P6804,Save Choice,42,3407.88
2024-10,INV10764,P4683,I Beautiful,25,97.75
2024-10,INV10440,P3780,Sister Charge,44,2438.04
2024-10,INV10659,P5820,Effect Whether,37,567.9499999999999
2024-10,INV10197,P6804,Save Choice,42,3407.88
2024-10,INV10764,P4683,I Beautiful,25,97.75
2024-10,INV10440,P3780,Sister Charge,44,2438.04
2024-10,INV10659,P5820,Effect Whether,37,567.9499999999999
2024-10,INV10197,P6804,Save Choice,42,3407.88
2024-10,INV10764,P4683,I Beautiful,25,97.75
2024-10,INV10440,P3780,Sister Charge,44,2438.04
2024-10,INV10659,P5820,Effect Whether,37,567.9499999999999
2024-10,INV10197,P6804,Save Choice,42,3407.88
2024-10,INV10066,P5010,Hard What,6,84.84
2024-10,INV10100,P1771,Affect Vote,9,89.64000000000001
2024-10,INV10855,P9165,Second Mind,38,2171.7
2024-10,INV10066,P5010,Hard What,6,84.84
2024-10,INV10100,P1771,Affect Vote,9,89.64000000000001
2024-10,INV10855,P9165,Second Mind,38,2171.7
2024-10,INV10066,P5010,Hard What,6,84.84
2024-10,INV10100,P1771,Affect Vote,9,89.64000000000001
2024-10,INV10855,P9165,Second Mind,38,2171.7
2024-11,INV10891,P7274,Stock Experience,3,43.83
2024-11,INV10551,P3977,Opportunity Bank,50,933.0
2024-11,INV10354,P7755,Money Risk,49,911.4000000000001
2024-11,INV10787,P5102,Exactly Where,41,3715.83
2024-11,INV10150,P3060,Line Range,13,502.19000000000005
2024-11,INV10777,P7594,Term Professor,11,352.99
2024-11,INV10639,P8988,Same Technology,11,181.28
2024-11,INV10891,P7274,Stock Experience,3,43.83
2024-11,INV10551,P3977,Opportunity Bank,50,933.0
2024-11,INV10354,P7755,Money Risk,49,911.4000000000001
2024-11,INV10787,P5102,Exactly Where,41,3715.83
