item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10
oranges,pasta,chicken,milk,bread,,,,,
coffee,apples,tea,milk,beef,,,,,
diapers,beef,beer,chicken,yogurt,coffee,tea,,,
pasta,diapers,oranges,milk,coffee,yogurt,grapes,flour,bread,
yogurt,coffee,bread,bananas,diapers,apples,milk,,,
flour,milk,tea,,,,,,,
milk,beef,oranges,tea,rice,,,,,
diapers,chicken,rice,pasta,oranges,flour,eggs,milk,bread,
yogurt,eggs,beef,butter,rice,apples,milk,bread,,
oranges,cheese,beer,rice,milk,yogurt,tea,beef,,
eggs,oranges,chicken,beer,diapers,pasta,,,,
diapers,apples,yogurt,pasta,beef,milk,bread,,,
tea,yogurt,eggs,rice,cheese,bread,flour,coffee,milk,
beef,yogurt,chicken,beer,sugar,oranges,grapes,apples,,
grapes,apples,yogurt,coffee,,,,,,
eggs,tea,sugar,flour,milk,bread,,,,
butter,beer,eggs,,,,,,,
bananas,coffee,cheese,milk,bread,,,,,
tea,coffee,apples,grapes,,,,,,
yogurt,pasta,eggs,milk,beef,bread,beer,,,
sugar,coffee,apples,yogurt,bananas,bread,,,,
beef,eggs,apples,bananas,oranges,rice,,,,
beef,yogurt,chicken,cheese,oranges,apples,coffee,eggs,milk,bread
flour,yogurt,bananas,coffee,apples,cheese,diapers,rice,,
tea,diapers,oranges,flour,milk,bread,,,,
apples,bread,flour,diapers,sugar,milk,cheese,,,
coffee,pasta,yogurt,oranges,sugar,,,,,
butter,beer,flour,milk,bread,,,,,
diapers,yogurt,oranges,rice,sugar,milk,bread,,,
flour,bananas,pasta,grapes,beer,,,,,
butter,oranges,coffee,chicken,rice,grapes,,,,
sugar,butter,oranges,beef,tea,milk,coffee,,,
tea,bananas,grapes,,,,,,,
apples,pasta,eggs,cheese,tea,grapes,rice,diapers,milk,bread
rice,tea,coffee,,,,,,,
beef,oranges,bread,tea,diapers,sugar,,,,
cheese,beef,beer,milk,oranges,grapes,,,,
bananas,pasta,beef,rice,sugar,milk,bread,,,
eggs,cheese,tea,yogurt,chicken,,,,,
beef,butter,cheese,chicken,pasta,beer,,,,
cheese,beef,oranges,sugar,yogurt,flour,butter,,,
beer,tea,rice,butter,,,,,,
grapes,cheese,coffee,butter,chicken,,,,,
milk,oranges,yogurt,beef,sugar,cheese,,,,
beef,pasta,eggs,sugar,milk,bread,,,,
oranges,rice,pasta,bananas,milk,bread,,,,
flour,butter,cheese,beer,eggs,beef,milk,tea,,
bananas,butter,apples,,,,,,,
sugar,beef,butter,milk,bananas,flour,tea,rice,,
